Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGH	A3 - 	A4 - 	A[1] LEFT	A[2] RIGH	A[3] 	A[4] 
A	AG	23	139	1	1	BA1650	3956	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3957	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3968	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3970	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3980	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3985	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3988	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3994	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3996	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3998	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	4003	7	0	0	0	0	0	0	0	1	0	0
